21三体综合症	trisomy
此外	besides
步法	footwork
步测	pacing
步行者	pedestrian
步话机	walkie-talkie
武器级	weapons-grade
武士刀	katana
武装分子	gunman
歪歪扭扭	crooked
历史学	history
历史学家	historian
历史性	historic
历史遗产	heritage
归化	naturalization
死心塌地	unswerving
死产	stillbirth
死藤水	ayahuasca
死飞	fixie
殑	swoon
殖民主义	colonialism
殖民地	colony
残次	defective
残毒	cruelty
残障	handicapped
殡仪员	mortician
杀千刀	damn
杀婴	infanticide
杀真菌剂	fungicide
杀草快	diquat
杀虫药	insecticide
殿军	runner-up
毁损	impair
母乳喂养	breastfeeding
母权制	matriarchy
母系社会	matrilineality
母细胞	matricyte
母驴	jenny
每个	each
每夜	nightly
毒力	virulence
毒性	toxicity
毒液	venom
毒理学	toxicology
毒莠定	picloram
毒药	poison
毒蛇	viper
毓婷	Yuting
比亚	Bia
比亚韦斯托克	Białystok
比什凯克	Bishkek
比值	ratio
比利时	Belgium
比哈尔邦	Bihar
比埃兹巴伯	Beelzebub
比安	Bienne
比绍	Bissau
比萨	Pisa
毛利人	Maori
毛刷	brush
毛哔叽	serge
毛孔	pore
毛毛的	unnerved
毛毛虫	caterpillar
毛毯	blanket
毛毡	felt
毛派	Maoist
毛泽东主义	Maoism
毛织运动衫	jersey
毛茛	buttercup
毛茸茸	hairy
毛象	mammoth
毛里塔尼亚	Mauritania
毛里求斯	Mauritius
毛发	hair
毛霉菌病	mucormycosis
毫克	milligram
毫升	milliliter
毫安	milliampere
毫瓦	milliwatt
毫秒	millisecond
毫米	millimeter
毹	rug
毽	shuttlecock
氅	overcoat
氏族	clan
民主主义者	democrat
民俗学	folklore
民族志	ethnography
民族自决	self-determination
民营化	privatization
民粹主义	populism
氘核	deuteron
氛围	ambience
氟化物	fluoride
气不公	indignant
气候学	climatology
气凝胶	aerogel
气动	pneumatic
气味	odor
气喘喘	breathless
气压计	barometer
气宇	bearing
气密	airtight
气旋	cyclone
气冲牛斗	infuriated
气溶胶	aerosol
气球	balloon
气筒	inflator
气象学	meteorology
氧乙炔	oxyacetylene
氧化物	oxide
氧合器	oxygenator
氧气	oxygen
氨	ammonia
氨基甲酸酯类化合物	carbamate
氪气石	kryptonite
氢化	hydrogenation
氢氟烃	hydrofluorocarbon
氢氧	oxyhydrogen
氮气	nitrogen
氯丁橡胶	neoprene
氯化物	chloride
氯化苦	chloropicrin
氯气	chlorine
氯痤疮	chloracne
氰化物	cyanide
氰基细菌	cyanobacteria
氰酸盐	cyanate
水上飞板	flyboard
水上飞机	seaplane
水刑逼供	water-boarding
水力学	hydraulics
水力发电	hydroelectricity
水印	watermark
水垢	limescale
水培法	hydroponics
水基	water-based
水塘	pool
水彩	watercolor
水患	flooding
水文	hydrology
水杉	metasequoia
水桶	bucket
水槽	sink
水潭	pond
水獭	otter
水田芥	watercress
水疱	blister
水磨石	terrazzo
水禽	waterfowl
水洼	puddle
水管工	plumber
水纹	ripples
水翼船	hydrofoil
水肺	scuba
水蒸气	vapor
水蛭素	hirudin
水行侠	Aquaman
水豚	capybara
水路	waterway
水银	mercury
水雾	mist
水鸟	waterbird
永冻土	permafrost
永定门	Yongdingmen
永无止境	never-ending
氹仔	Taipa
汗津津	sweaty
汗液	sweat
汗褂儿	undershirt
汝	thou
汞齐	amalgam
江河	river
江湖医生	quack
江畔	riverbank
污垢	dirt
污染物	pollutant
污水	sewage
污水坑	cesspit
污渍	stain
污痕	blot
污言秽语	obscenities
污迹	blotch
汭	river-bend
决定论	determinism
决策者	policymaker
汽油	gasoline
汽车旅馆	motel
沃尔夫	Wolf
沃尔夫斯堡	Wolfsburg
沃尔玛	Wal-Mart
沃尔芬森	Wolfson
沃罗涅日	Voronezh
沉浸式	immersive
沉淀物	precipitate
沉甸甸	heavy
沉积物	sediment
没	not
没有品味	tasteless
没有形状	shapeless
没用	useless
没经验	inexperienced
冲冲	excitedly
冲绳	Okinawa
沙利度胺	thalidomide
沙哑	hoarse
沙堡	sandcastle
沙威玛	shawarma
沙文主义	chauvinism
沙暴	sandstorm
沙棘	sea-buckthorn
沙沙	rustle
沙琪玛	sachima
沙眼	trachoma
沙虫	sandworm
沙质	sandy
沙锤	maraca
沙门氏菌	Salmonella
沙门菌	salmonella
沙鼠	gerbil
河内	Hanoi
河卵石	pebble
河川	rivers
河床	riverbed
河漫滩	floodplain
河滩	strand
河童	kappa
河豚	blowfish
河马	hippopotamus
沴	miasma
沸石	zeolite
油光漆	varnish
油旋	Youxuan
油桃	nectarine
油油	oily
油纸	oilpaper
治疗师	therapist
治愈系	uplifting
沿海	coastal
泄泻	diarrhea
泉路	netherworld
泌乳	lactation
泌尿	urination
泌尿外科	urology
法令	decree
法利赛人	Pharisee
法国	France
法国百合	artichoke
法塔赫	Fatah
法外	extrajudicial
法定	statutory
法式	French-style
法律责任	liability
法拉	farad
法拉利	Ferrari
法槌	gavel
法王	Sakyamuni
法兰克福	Frankfurt
法西斯主义	fascism
法警	bailiff
泛光灯	floodlight
泛性恋	pansexuality
泛神论	pantheism
泛自然神论	pandeism
泡沫塑料	styrofoam
泡泡	bubbles
泡泡口香糖	bubble-gum
波来古	Pleiku
波动性	fluctuation
波哥大	Bogota
波塞冬	Poseidon
波士顿	Boston
波季	Poti
波提乏	Potiphar
波斯	Persia
波斯尼亚	Bosnia
波旁	Bourbon
波浪	wave
波尔多	Bordeaux
波特率	baud
波状	wave-shaped
波状云	undulatus
波罗的	Baltic
波美拉尼亚	Pomerania
波兰	Poland
波谷	trough
波长	wavelength
泥	restrained
泥土	earth
泥敷剂	poultice
泥水匠	mason
泥沼	swamp
泥浆	slurry
泥潭	quagmire
泥煤	peat
泥质页岩	mudstone
泥铲	trowel
注册人	registrant
注意力	attention
泫	weep
泰国	Thailand
泰坦巨龙	titanosaur
泰米尔	Tamil
泳衣	swimsuit
洋灰	cement
洋琵琶	mandolin
洋红	carmine
洋罪	torture
洋芫荽	parsley
洋碱	soap
洗涤桶	washtub
洗洁剂	detergent
洗碗机	dishwasher
洗衣	laundry
洗发乳	shampoo
洛克菲勒	Rockefeller
洛基	Loki
洛锡安区	Lothian
洞孔	hole
洞察力	insight
津岛	Tsushima
津巴布韦	Zimbabwe
津贴	allowance
洪亮	resonant
洪堡	Humboldt
洪水	deluge
洪灾	flood
洪都拉斯	Honduras
洪雅族	Hoanya
洲际	intercontinental
活动挂图	flipchart
活化	activation
活塞	piston
活度	activity
活板	trapdoor
活着	alive
流亡政府	government-in-exile
流利	fluent
流感	flu
流星体	meteoroid
流苏	tassels
流萤	firefly
流行性感冒	influenza
流变学	rheology
流量计	flowmeter
流体	fluid
浙赣	Zhejiang-Jiangxi
浣女	washerwoman
浩浩荡荡	majestic
浪子	loafer
浪漫	romantic
浪漫主义	romanticism
浪船	swingboat
浮世绘	ukiyo-e
浮力	buoyancy
浮标	buoy
浮沫	froth
浮浅	skin-deep
浮游生物	plankton
浮肿病	dropsy
浮萍	duckweed
浮着	afloat
浮点数	float
浴缸	bathtub
浴血	blood-soaked
浴袍	bathrobe
海上	maritime
海员	sailor
海啸	tsunami
海地	Haiti
海外	overseas
海宝	Haibao
海岬	headland
海岱	Haidai
海岸警卫队	coastguard
海峡	strait
海带	kelp
海底	seabed
海底轮	muladhara
海德堡	Heidelberg
海水	seawater
海洋学	oceanography
海洋性贫血	thalassemia
海淀区	Haidian
海尔德兰	Gelderland
海牛	manatee
海狸鼠	nutria
海盗	pirate
海盗行为	piracy
海绵状	spongy
海苔	nori
海草	seagrass
海虹	mussel
海豚	dolphin
海豚馆	dolphinarium
海象	walrus
海豹科	Phocidae
海军	navy
海迪	Heidi
海鲜	seafood
海鸟	seabird
海鸥	gull
浸信会	Baptists
消化不良	indigestion
消毒剂	disinfectant
消消停停	intermittently
消费级	consumer-grade
消费者	consumer
消防员	firefighter
消防队员	fireman
消音器	silencer
涉黑	gang-related
涎沫	spittle
液滴	droplet
液胞	vacuole
液体	liquid
涵洞	culvert
涵淡	waves
涷	rainstorm
凉鞋	sandal
淋巴液	lymph
淋巴瘤	lymphoma
淋巴细胞	lymphocyte
凄清	somber
泪	teardrops
泪滴	teardrop
淡光	shimmer
淤伤	bruising
淫乱	promiscuous
淫欲	lust
淫棍	womanizer
淫秽	obscene
深渊	abyss
深谋	forethought
渊冲	insightful
混乱	confused
混凝剂	coagulant
混合物	mixture
混合现实	MR
混血	mixed-race
浅析	primary
浅浮雕	bas-relief
浅薄	superficial
清教徒	Puritan
清晰	clear
清洁器	cleaner
清澄	limpid
清盘	liquidation
清真寺	mosque
减法	subtraction
减震器	shock-absorber
渠魁	ringleader
渤海	Parhae
渥太华	Ottawa
涡扇	turbofan
涡桨	turboprop
涡轮喷气发动机	turbojet
涡轮轴发动机	turboshaft
测谎仪	polygraph
游戏手柄	gamepad
游泳馆	natatorium
湄	coast
湍流	turbulence
湖	lake
湖沼学	limnology
湖边	lakeside
湘黔	Hunan-Guizhou
湫	marsh
汤加里罗	Tongariro
汤汁	soup
准妈妈	mother-to-be
准决赛	semifinal
准确性	accuracy
准谱儿	certainty
沟谷	gully
沟道	groove
溢满	overflowing
溥仪	Puyi
溪流	stream
温和	lukewarm
温和性	tenderness
温室	greenhouse
温尼伯	Winnipeg
温度表	thermometer
温得和克	Windhoek
温文	genteel
温暖	warm
温温	mild
温特图尔	Winterthur
温跃层	thermocline
温雅	gentle
溶剂	solvent
溶质	solute
溶酶体	lysosome
溶体	solution
滂臭	smelly
灭虫宁	bephenium
滑板	skateboard
滑沙	sandboarding
滑石	talc
滑翔机	glider
滑膛	smoothbore
滑雪索道	ski-lift
滑雪运动	skiing
滑音	glissando
滔滔	torrential
滞	stagnant
渗人	horrifying
渗出物	exudate
渗析	dialysis
渗滤	percolation
渗碳	carburization
渗色	bleeding
滴下	drip
滴定	titration
滴定管	burette
滴流	trickle
满手	handful
满洲	Manchuria
满洲国	Manchukuo
满身尘埃	dusty
渔夫	fisherman
渔妇	fisherwoman
漂亮	pretty
漂白剂	bleach
漂游	drift
漆器	lacquerware
漆黑	pitch-black
溇	drizzle
漏斗	funnel
演出者	performer
演员	actor
演员阵容	troupe
演习	exercise
演讲家	orator
漜	mud
汉英	Chinese-English
汉诺威	Hanover
涟漪	ripple
漱口水	mouthwash
渐冻症	ALS
渐渐	gradually
浆果	berry
泼掉	spill
洁	clean
洁食	kosher
潘多拉	Pandora
潜望镜	periscope
潜水器	submersible
潜艇	submarine
潟湖	lagoon
润滑剂	lubricant
润肤霜	moisturizer
潭腿	Tantui
潮人	trendsetter
潮汐	tide
潮男	metrosexual
潮红	flush
潮解性	deliquescent
潸	tearfully
涝	flooded
澡	bath
泽兰	Eupatorium
淀粉	starch
淀粉酶	amylase
澳	cove
澳大利亚	Australia
澳洲小鹦鹉	lorikeet
澳际	Aoji
激光	laser
激光雷达	lidar
激励机制	incentives
激素	hormone
激进主义	radicalism
激进分子	radical
浊度	turbidity
浓缩咖啡	espresso
濊貊	Yemaek
湿地	wetland
湿润	moist
湿疹	eczema
湿衣	wetsuit
湿黏	clammy
泞	muddy
滨江	riverside
溅射	sputtering
溅开	splash
滤液	filtrate
泻药	laxative
瀑布	waterfall
瀛	ocean
瀛洲	Yingzhou
瀡	slippery
洒水机	sprinkler
滩涂	mudflat
滩头	beach
火山	volcano
火山学	volcanology
火影忍者	Naruto
火成碎屑	pyroclastic
火星	spark
火星人	Martian
火烈鸟	flamingo
火球	fireball
火眼	pinkeye
火葬场	crematorium
火药	gunpowder
火轮船	steamboat
火鸡	turkey
火麻	hemp
灰尘	dust
灰度	grayscale
灰烬	ashes
灰猎犬	greyhound
灰白	ash-colored
灶台	stovetop
灶神	Zaoshen
灶神星	Vesta
灼急	worried
灼热	scorching
灾难	disaster
灾难性	catastrophic
炎症	inflammation
炭焙	charcoal-roasted
炭疽热	anthrax
炮舰	gunship
炯炯	shining
炳著	eminent
炴	firelight
炸锅	fryer
炸雷	thunderclap
为了	for
为何	why
烈度	intensity
烈日	Liege
乌克兰	Ukraine
乌干达	Uganda
乌拉圭	Uruguay
乌日	Wuri
乌普萨拉	Uppsala
乌有	nonexistent
乌木	ebony
乌尔根奇	Urgench
乌兹别克斯坦	Uzbekistan
乌里雅苏台	Uliastai
乌鲁鲁	Uluru
乌龙面	udon
烘焙师	baker
烘焙店	bakery
烤箱	oven
烤饼	scone
烤面包机	toaster
烯	alkene
烃	hydrocarbon
烃化作用	alkylation
烷	alkane
烷基	alkyl
烹调术	cookery
烹饪	cooking
焓	enthalpy
无上	supreme
无人机	drone
无休无止	ceaseless
无偿	free
无两	unparalleled
无原则	unprincipled
无可	can't
无可争议	undeniable
无名之辈	nobody
无害	harmless
无底	bottomless
无微不至	meticulous
无思无虑	untroubled
无所不包	all-encompassing
无所不在	omnipresent
无所不知	omniscient
无所不能	omnipotent
无把握	uncertain
无政府主义	anarchism
无条件	unconditional
无止尽	endless
无毛	hairless
无法无天	lawless
无烟煤	anthracite
无瑕	faultless
无生命	non-living
无产阶级	proletariat
无疑	undoubtedly
无症状	asymptomatic
无痕	traceless
无痛	painless
无知觉	senseless
无神论	atheism
无神论者	atheist
无秩序	disorder
无稽	nonsense
无穷无尽	boundless
无纸化	paperless
无丝分裂	amitosis
无线	wireless
无线网络	Wi-Fi
无缝	seamless
无翅	wingless
无脊椎动物	invertebrate
无脑	brainless
无与伦比	incomparable
无色	colorless
无菌	sterile
无菌性	aseptic
无处	nowhere
无论何人	whoever
无论何时	whenever
无趣	dull
无足轻重	insignificant
无轨	trackless
无轨电车	trolleybus
无连接	connectionless
无边无际	limitless
无关痛痒	irrelevant
无限期	indefinitely
无障碍	barrier-free
无题	untitled
无麸质	gluten-free
焦油	tar
焦糖	caramel
焦点	focus
焰	flame
然后	then
然而	however
煁	brazier
炼狱	purgatory
炼金术	alchemy
炼金术士	alchemist
烟囱	chimney
烟民	smokers
烟气	smoke
烟火	fireworks
烟灰缸	ashtray
烟草	tobacco
煤油	kerosene
煤渣	slack
煤炭	coal
煤砖	briquette
焕	glowing
照明弹	flare
烦心	annoying
烦心事	troubles
烦闷	moody
煽动性	provocative
熊孩子	brat
熏香	incense
荧光	fluorescence
熔浆	lava
熔矿炉	furnace
熔解	fusion
熙提	stilb
熟思	deliberation
熟练工	journeyman
熟门熟路	familiar
熟食店	deli
热切	fervent
热力	heat
热力学	thermodynamics
热射病	heatstroke
热心	enthusiastic
热心肠	warmhearted
热核	thermonuclear
热潮	craze
热词	buzzword
热轧	hot-rolling
热那亚	Genoa
热释光	thermoluminescence
热电	pyroelectric
热电偶	thermocouple
燃料	fuel
灯心	lampwick
灯柱	lamppost
灯火	lights
灯笼	lantern
灯台	lampstand
炖饭	risotto
烧水壶	kettle
烧脑	brain-bending
烧鸟	yakitori
燕子	swallow
燕麦	oats
营地	camp
营寨	barracks
营业收入	revenue
营火	campfire
营养学	nutriology
营养物质	nutrient
燧人	Suiren
燧人氏	Suirenshi
燧发枪	flintlock
燹	conflagration
熏肉	bacon
熏蒸剂	fumigant
爆弹	bomb
爆破手	dynamiter
爆竹	firecracker
爆裂物	explosives
炉灶	stove
炉边	fireside
烂人	lowlife
烂俗	clichéd
烂崽	low-life
烂摊子	shambles
爬犁	sledge
爬行动物	reptile
争论点	contention
争议性	controversial
父权制	patriarchy
父母	parents
父老	elders
爹	dad
爷爷	grandpa
爽歪了	amazing
尔来	lately
墙壁	wall
片语	phrase
片头	intro
版式	format
版权	copyright
牌号	trademark
牍	documents
牙痛	toothache
牙科	dentistry
牙签	toothpick
牙结石	tartar
牙买加	Jamaica
牙医	dentist
牙龈炎	gingivitis
牛仔	cowboy
牛仔布	denim
牛奶糖	toffee
牛排	steak
牛排馆	steakhouse
牛犊	calf
牛痘	cowpox
牛皮癣	psoriasis
牛磺酸	taurine
牛肉	beef
牛蛙	bullfrog
牛角面包	croissant
牛头	Ox-Head
牛饮	gulp
牛魔王	Gyuumao
牛黄	bezoar
牡蛎	oyster
牢狱之灾	imprisonment
牧民	herdsman
牧神节	Lupercalia
牧羊人	shepherd
牧羊犬	sheepdog
物主	owner
物候学	phenology
物品	articles
物物交换	barter
物理	physics
物理学家	physicist
物种	species
牲畜	livestock
牳	bovine
牸牛	cow
特伦顿	Trenton
特内里费	Tenerife
特定	special
特技演员	stuntman
特技跳伞	skydiving
特拉法尔加	Trafalgar
特拉华	Delaware
特此	hereby
特发性	idiopathic
特立尼达	Trinidad
特罗多斯	Troodos
特艺彩色	Technicolor
特制	custom-made
犀牛	rhinoceros
犀鸟	hornbill
犁	plow
犁沟	furrow
犁铧	plowshare
犄角	horn
犉	ox
犍牛	bullock
犬儒	cynic
犬儒主义	cynicism
犬夜叉	Inuyasha
犬戎	Quanrong
犬舍	kennel
犯罪学	criminology
犰狳	armadillo
狂乱	hysterical
狂人	madman
狂怒	furious
狂悖	outrageous
狂欢节	carnival
狂犬病	rabies
狄俄倪索斯	Dionysus
狆	Pekingese
狐	fox
狐猴	lemur
狐獴	meerkat
狒狒	baboon
狗仔队	paparazzi
狗屁不通	nonsensical
狗东西	scumbag
狗狗	doggie
狗窝	doghouse
狗腿	lackey
狘	jump
狡猾	crafty
狭窄	narrow
狭谷	glen
狼人	werewolf
狼狗	wolfdog
猖	ferocious
猗	interj.
猛烈	fierce
猝	abruptly
猝睡症	narcolepsy
猞猁	lynx
猢狲	macaque
猩红	scarlet
猴儿	monkey
猴猴族	Qauqaut
猴痘	monkeypox
犹他	Utah
犹太人	Jew
犹太复国主义	Zionism
犹太教	Judaism
犹太教堂	synagogue
犹如	like
犹达	Jude
猸子	mongoose
猾	sly
猿	ape
猿人	apeman
狮虎兽	liger
狮身人面像	sphinx
奖赏	reward
獚	spaniel
獠牙	tusk
獢	dog
独一无二	unmatched
独奏	solo
独家	exclusive
独居石	monazite
独特	unique
独眼巨人	cyclops
独自	alone
独行侠	loner
独角兽	unicorn
獬豸	Xiezhi
狞猫	caracal
获胜者	victor
获得者	recipient
获奖者	prizewinner
猎	hunting
猎人	hunter
猎物	prey
猎犬	hound
猎豹	cheetah
猎鹰	falcon
兽奸	bestiality
兽疫	epizootic
兽装	fursuit
兽类	animals
獾	badger
玄孙	great-great-grandson
玄幻	xuanhuan
玄虚	arcane
玄关	vestibule
率	rate
玉	jade
玉泉营	Yuquanying
玉米花	popcorn
玉米赤霉烯酮	zearalenone
玉米面	cornmeal
玉素甫	Yusuf
玉蜀黍	corn
玉衡	Alioth
王八蛋	bastard
王冠	crown
王家	princely
王府井	Wangfujing
王朝	dynasty
玓	pearly
玢	porphyrites
玩伴	playmate
玩物	toy
玫瑰花	rose
玻利维亚	Bolivia
玻璃化	vitrification
玻璃纸	cellophane
玻璃纤维	fiberglass
珉	alabaster
珊瑚	coral
珍多冰	cendol
珍珠岩	perlite
珍贵	precious
珞	neck-ornament
珞巴语	Lhoba
珠母	mother-of-pearl
班伯利	Bunbury
班图斯坦	Bantustan
班房	jail
现代	Hyundai
现代性	modernity
现在	now
现实主义	realism
现时	current
现象学	phenomenology
现象级	phenomenal
现金	cash
球孢子菌病	Coccidioidomycosis
球形	spherical
球蛋白	globulin
球体	spheroid
理事会	council
理光	Ricoh
理学	science
理工男	geek
理性主义	rationalism
理想主义	idealism
理疗	physiotherapy
理疗师	physiotherapist
理发师	barber
琥珀	amber
琴鸟	lyrebird
琵琶	pipa
珐琅	enamel
瑀	chalcedony
瑙鲁	Nauru
瑞典	Sweden
瑞典人	Swede
瑞士	Switzerland
琐事	trifle
琐细	trivial
琐罗亚斯德	Zoroaster
琐罗亚斯德教	Zoroastrianism
玛拉基亚	Malachi
玛瑙贝	cowrie
玛莎拉蒂	Maserati
环保主义	environmentalism
环保主义者	environmentalist
环烷烃	cycloalkane
环礁	atoll
环节动物门	Annelidan
瓖	ornaments
瓜德罗普	Guadeloupe
瓜达拉哈拉	Guadalajara
瓜达尔	Gwadar
瓜达尔卡纳尔岛	Guadalcanal
瓠	gourd
瓦加杜古	Ouagadougou
瓦器	pottery
瓦尔特	Walter
瓦当	eaves-tile
瓦西里	Vasiliy
瓦隆	Walloon
瓶塞钻	corkscrew
瓶胚	preform
瓶装	bottled
甘味剂	sweetener
甘托克	Gantok
甘油三酯	triglyceride
甘纳豆	amanattō
甘菊	chamomile
甘蔗渣	bagasse
甘愿	willingly
甚平	jinbei
甚至	even
甚巨	considerable
甜	sweet
甜味	sweetness
甜品	dessert
甜瓜	muskmelon
甜甜圈	doughnut
甜菊糖苷	stevioside
生分	estranged
生动	lively
生化需氧量	BOD
生命力	vitality
生命线	lifeline
生态友好型	eco-friendly
生态圈	ecosphere
生态学	ecology
生态学家	ecologist
生态旅游	ecotourism
生态系统	ecosystem
生有权	birthright
生殖轮	svadhisthana
生煎	shengjian
生物传感器	biosensor
生物力学	biomechanics
生物化学	biochemistry
生物化学家	biochemist
生物反应器	bioreactor
生物圈	biosphere
生物多样性	biodiversity
生物学	biology
生物学家	biologist
生物专一性	biospecificity
生物性	biological
生物恐怖主义	bioterrorism
生物晶片	biochip
生物材料	bio-materials
生物柴油	biodiesel
生物气体	bio-gas
生物活化性	bioactivity
生物测定	bioassay
生物燃料	biofuel
生物群	biota
生物能	bio-energy
生物降解	biodegradation
生物高分子	biopolymers
生物碱	alkaloid
生理学	physiology
生理学家	physiologist
生理性	physiological
生产企业	manufacturer
生苔	mossy
生辰	birthday
生鱼片	sashimi
产后	postnatal
产量	output
用度	expense
用户名	username
用法	usage
甪端	Luduan
田亩	field
田纳西	Tennessee
田鼠	vole
由来	origin
甲壳虫	beetle
甲壳类	crustacean
申请人	applicant
男中音	baritone
男女同校	coeducation
男孩子	boy
男巫	wizard
男性主义	masculism
男朋友	boyfriend
男爵	baron
界限	boundary
畔	edge
畔援	domineering
留兰香	spearmint
留言本	guestbook
畚斗	dustpan
毕加索	Picasso
毕业生	graduate
毕达哥拉斯	Pythagoras
略微	slightly
略称	abbreviation
番木瓜	papaya
画作	painting
画架	easel
画质	resolution
异丁烷	isobutane
异性恋主义	heterosexism
异戊二烯	isoprene
异步	asynchronous
异装癖	transvestism
异见者	dissident
异议	objection
当地	local
当局	authorities
当头	surety
畸型	malformation
叠层岩	stromatolite
疏勒国	Shule
疐	prostrate
疑念	doubt
疑惧	misgivings
疝气	hernia
疣猪	warthog
疤痕	scar
疥	scabies
疫苗	vaccine
疲	weary
疳	rickets
疽	gangrene
疾病	disease
痂	scab
病厌厌	sickly-looking
病榻	sickbed
病毒	virus
病毒性	viral
病毒血症	viremia
病理学	pathology
病理学家	pathologist
症状性	symptomatic
痔疮	hemorrhoid
痘痘	pimple
痉	spasm
痛经	dysmenorrhea
痛风	gout
痢疾	dysentery
痭	menorrhagia
痯	ill-looking
痰盂	spittoon
痰盂式	spittoon-shaped
痴呆症	dementia
痼癖	addiction
痿	atrophy
瘃	chilblain
瘊	wart
疯狂	crazy
瘟疫	plague
疮疡	sore
瘦削	slim
瘦骨伶仃	scrawny
瘦骨嶙峋	skinny
疟疾	malaria
瘭	whitlow
瘆人	scary
瘰螈	triton
瘘管	fistula
疗法	therapy
疗养院	sanatorium
癌	cancer
瘪陷	deflated
痴情	infatuation
癞蛤蟆	toad
痈	carbuncle
瘫	paralyzed
癫痫	epilepsy
登山家	mountaineer
登山扣	carabiner
登记员	registrar
发明家	inventor
发棵	budding
发声法	intonation
发薪日	payday
发言人	spokesperson
发送器	transmitter
发电量	capacity
白人	Caucasian
白俄罗斯	Belarus
白化病	albinism
白名单	whitelist
白喉	diphtheria
白垩	chalk
白报纸	newsprint
白左	naive
白带	leukorrhea
白厅	Whitehall
白榴石	leucite
白沙瓦	Peshawar
白烂	ridiculous
白癜风	vitiligo
白色体	leucoplast
白萝卜	daikon
白血病	leukemia
白银	silver
白钨矿	scheelite
白雪	snow
白云石	dolomite
白骨顶	coot
白鱼	whitefish
白面儿	heroin
百事可乐	Pepsi
百兆	100Base-T
百分之	percent
百分比	percentage
百合	lily
百合子	Yuriko
百度	Baidu
百慕大	Bermuda
百岁老人	centenarian
百草枯	paraquat
百万	million
百万富翁	millionaire
百变	ever-changing
百越	Baiyue
百灵鸟	skylark
皂石	soapstone
的里雅斯特	Trieste
皇后区	Queens
皇后镇	Queenstown
皇子	prince
皭	pure
皮匠	cobbler
皮层	cortex
皮层性	cortical
皮星	picosatellite
皮条客	pimp
皮钦语	pidgin
皮炎	dermatitis
皮尔	Pierre
皮秒	picosecond
皮肤病	dermatosis
皮肤科	dermatology
皮艇	kayak
皮货	furs
皮质醇	cortisol
皮质类固醇	corticosteroid
皮鞋匠	shoemaker
皮鞭	lash
益生菌	probiotics
盎格鲁	Anglo-
盎格鲁萨克逊	Anglo-Saxon
盛宴	feast
盛怒	enraged
盛行率	prevalence
盗贼	robber
盟友	ally
监狱	prison
监督人	superintendent
监督者	supervisor
监视孔	peephole
监护人	guardian
盘膝	cross-legged
盥洗盆	washbowl
盦	container
卢旺达	Rwanda
卢森堡	Luxembourg
目击者	eyewitness
目珠	eyeball
目录学	bibliography
目镜	eyepiece
盲	blind
盲字	braille
盲肠炎	appendicitis
直到	until
直勾勾	staring
直升机坪	helipad
直布罗陀	Gibraltar
直径	diameter
直截	straightforward
直方图	histogram
直觉	intuition
直觉性	intuitiveness
直隶	Zhili
相互关系	interrelationship
相似	similar
相向	face-to-face
相对比较	relatively
相思病	lovesickness
相关性	correlation
省份	province
眉头	brows
看不习惯	unfamiliar
看守者	watchman
真主	Allah
真如	Tathata
真实	true
真心	wholeheartedness
真核	eukaryotic
真格的	real
真皮层	dermis
真确	authentic
真诚	sincere
真髓	essence
眨眼睛	wink
眹	pupil
眼光短	short-sighted
眼界	scope
眼皮	eyelid
眼眸	eyes
眼睫毛	eyelashes
眼科学	ophthalmology
眼科医生	ophthalmologist
眼角膜	cornea
眼镜蛇	cobra
众创空间	hackerspace
众多	numerous
众筹	crowdfunding
𪾢	goggle-eyed
困意	sleepiness
睛	eye
睡眠者	sleeper
睡眠虫	trypanosome
睡衣裤	pajamas
睡袍	nightgown
睡鼠	dormouse
睫毛膏	mascara
睾丸	testicle
睾丸素	testosterone
瞑眩	dizziness
瞪羚	gazelle
瞬时	instantaneous
瞬间转移	teleportation
蒙蒙黑	dusk
矛柄	shaft
矟	lance
知乎	Zhihu
知名	well-known
知恩不报	ungrateful
知识分子	intellectual
知识论	epistemology
矧	interrog.
短吻鳄	alligator
短文	article
短歌	ballad
短缺	shortage
短袜	sock
矮人	dwarf
矮黑人	Negrito
石匠	stonemason
石南属	heather
石南树	heath
石墨烯	graphene
石景山区	Shijingshan
石棉	asbestos
石棺	sarcophagus
石榴	pomegranate
石河子	Shihezi
石油化学	petrochemistry
石灰岩	limestone
石磨	grindstone
石笋	stalagmite
石脑油	naphtha
石英	quartz
石质	stony
矻矻	assiduously
矽肺病	silicosis
矽藻	diatom
矽铝层	Sial
砂子	sand
砂岩	sandstone
砂砾	grit
砌砖工	bricklaying
砌路	paving
砌体	brickwork
砍刀	machete
研究员	researcher
研华	Advantech
研讨	discussion
炮艇	gunboat
破坏性	destructive
破坏活动	sabotage
破布	rag
破缺	breaking
破旧	shabby
硅藻门	Bacillariophyta
硅酮	silicone
硅酸盐	silicate
硐	grind
硝化甘油	nitroglycerine
硝酸盐	nitrate
硫氰酸酶	rhodanase
硫氰酸盐	thiocyanate
硫胺素	thiamine
硫酸盐	sulfate
硫黄	sulfur
硬件	hardware
硬度	hardness
硬拉	deadlift
硬木	hardwood
硬壳	crust
硬玉	jadeite
硬编码	hard-coded
砚	ink-stone
硼砂	borax
碎块	fragment
碎布条	shred
碎片	chip
碎石	gravel
碎肉	mincemeat
碏	gems
碗柜	cupboard
碧玉	jasper
碳化物	carbide
碳水化合物	carbohydrate
砜	sulfone
确定性	determinacy
码率	bitrate
码头	wharf
碾槌	pestle
碾盘	millstone
